# Wavelength, Molecular Absorption, Ozone, Rayleigh Scattering, Aerosol Extinction
3.000000000e+00	8.705558068e-01	1.000000000e+00	9.999139258e-01	9.963261882e-01
3.001500375e+00	9.367017847e-01	1.000000000e+00	9.999141141e-01	9.963287176e-01
3.003001501e+00	7.222720654e-01	1.000000000e+00	9.999143021e-01	9.963312452e-01
3.004503377e+00	7.149707083e-01	1.000000000e+00	9.999144896e-01	9.963337712e-01
3.006006004e+00	1.906350281e-01	1.000000000e+00	9.999146767e-01	9.963362954e-01
3.007509383e+00	5.823538572e-01	1.000000000e+00	9.999148634e-01	9.963388178e-01
3.009013514e+00	4.986648259e-01	1.000000000e+00	9.999150497e-01	9.963413385e-01
3.010518396e+00	9.091150970e-01	1.000000000e+00	9.999152357e-01	9.963438575e-01
3.012024032e+00	8.977223524e-01	1.000000000e+00	9.999154212e-01	9.963463748e-01
3.013530421e+00	6.716542934e-01	1.000000000e+00	9.999156063e-01	9.963488903e-01
3.015037563e+00	7.495313997e-01	1.000000000e+00	9.999157911e-01	9.963514041e-01
3.016545458e+00	8.338296977e-01	1.000000000e+00	9.999159755e-01	9.963539162e-01
3.018054108e+00	3.047205474e-01	1.000000000e+00	9.999161595e-01	9.963564265e-01
3.019563513e+00	5.494625720e-01	1.000000000e+00	9.999163430e-01	9.963589351e-01
3.021073672e+00	5.015146440e-01	1.000000000e+00	9.999165262e-01	9.963614420e-01
3.022584586e+00	1.065458717e-01	1.000000000e+00	9.999167091e-01	9.963639472e-01
3.024096257e+00	8.592781393e-01	1.000000000e+00	9.999168915e-01	9.963664506e-01
3.025608683e+00	9.277402019e-01	1.000000000e+00	9.999170735e-01	9.963689524e-01
3.027121865e+00	6.352058395e-01	1.000000000e+00	9.999172552e-01	9.963714524e-01
3.028635805e+00	9.320225599e-01	1.000000000e+00	9.999174365e-01	9.963739507e-01
3.030150501e+00	6.887476724e-01	1.000000000e+00	9.999176174e-01	9.963764472e-01
3.031665955e+00	6.150779216e-01	1.000000000e+00	9.999177979e-01	9.963789421e-01
3.033182167e+00	3.840388832e-01	1.000000000e+00	9.999179780e-01	9.963814352e-01
